;Kontoadministrator;Informasjonskonsulent;Emneadministrator;Førstelinje;Superbrukar;Emneinnsyn
Læringsmål - legg til / endre / slett;Slått på Læringsmål - legg til / endre / slett Kontoadministrator;Deaktivert Læringsmål - legg til / endre / slett Informasjonskonsulent;Slått på Læringsmål - legg til / endre / slett Emneadministrator;Deaktivert Læringsmål - legg til / endre / slett Førstelinje;Slått på Læringsmål - legg til / endre / slett Superbrukar;Deaktivert Læringsmål - legg til / endre / slett Emneinnsyn
Løyve - administrer;Slått på og låst Løyve - administrer Kontoadministrator;Deaktivert Løyve - administrer Informasjonskonsulent;Deaktivert Løyve - administrer Emneadministrator;Deaktivert Løyve - administrer Førstelinje;Deaktivert Løyve - administrer Superbrukar;Deaktivert Løyve - administrer Emneinnsyn
Quizar - sjå innleveringslogg;Slått på Quizar - sjå innleveringslogg Kontoadministrator;Deaktivert Quizar - sjå innleveringslogg Informasjonskonsulent;Slått på Quizar - sjå innleveringslogg Emneadministrator;Deaktivert Quizar - sjå innleveringslogg Førstelinje;Slått på Quizar - sjå innleveringslogg Superbrukar;Deaktivert Quizar - sjå innleveringslogg Emneinnsyn
Rapportar - administrer;Slått på Rapportar - administrer Kontoadministrator;Deaktivert Rapportar - administrer Informasjonskonsulent;Slått på Rapportar - administrer Emneadministrator;Deaktivert Rapportar - administrer Førstelinje;Slått på Rapportar - administrer Superbrukar;Slått på Rapportar - administrer Emneinnsyn
SIS Data - administrer;Slått på SIS Data - administrer Kontoadministrator;Deaktivert SIS Data - administrer Informasjonskonsulent;Deaktivert SIS Data - administrer Emneadministrator;Deaktivert SIS Data - administrer Førstelinje;Slått på SIS Data - administrer Superbrukar;Deaktivert SIS Data - administrer Emneinnsyn
SIS Data - les;Slått på SIS Data - les Kontoadministrator;Deaktivert SIS Data - les Informasjonskonsulent;Deaktivert SIS Data - les Emneadministrator;Slått på SIS Data - les Førstelinje;Slått på SIS Data - les Superbrukar;Deaktivert SIS Data - les Emneinnsyn
SIS-data - import;Slått på SIS-data - import Kontoadministrator;Deaktivert SIS-data - import Informasjonskonsulent;Deaktivert SIS-data - import Emneadministrator;Deaktivert SIS-data - import Førstelinje;Slått på SIS-data - import Superbrukar;Deaktivert SIS-data - import Emneinnsyn
Samtaler - send meldingar til alle på emnet;Slått på Samtaler - send meldingar til alle på emnet Kontoadministrator;Slått på Samtaler - send meldingar til alle på emnet Informasjonskonsulent;Slått på Samtaler - send meldingar til alle på emnet Emneadministrator;Deaktivert Samtaler - send meldingar til alle på emnet Førstelinje;Deaktivert Samtaler - send meldingar til alle på emnet Superbrukar;Slått på Samtaler - send meldingar til alle på emnet Emneinnsyn
Samtaler - send meldingar til individuelle emnedeltakarar;Slått på Samtaler - send meldingar til individuelle emnedeltakarar Kontoadministrator;Slått på Samtaler - send meldingar til individuelle emnedeltakarar Informasjonskonsulent;Slått på Samtaler - send meldingar til individuelle emnedeltakarar Emneadministrator;Deaktivert Samtaler - send meldingar til individuelle emnedeltakarar Førstelinje;Deaktivert Samtaler - send meldingar til individuelle emnedeltakarar Superbrukar;Slått på Samtaler - send meldingar til individuelle emnedeltakarar Emneinnsyn
Spørsmålsbankar - administrer konto;Slått på Spørsmålsbankar - administrer konto Kontoadministrator;Deaktivert Spørsmålsbankar - administrer konto Informasjonskonsulent;Slått på Spørsmålsbankar - administrer konto Emneadministrator;Deaktivert Spørsmålsbankar - administrer konto Førstelinje;Slått på Spørsmålsbankar - administrer konto Superbrukar;Deaktivert Spørsmålsbankar - administrer konto Emneinnsyn
Spørsmålsbankar - vis og lenke til;Slått på Spørsmålsbankar - vis og lenke til Kontoadministrator;Deaktivert Spørsmålsbankar - vis og lenke til Informasjonskonsulent;Slått på Spørsmålsbankar - vis og lenke til Emneadministrator;Deaktivert Spørsmålsbankar - vis og lenke til Førstelinje;Slått på Spørsmålsbankar - vis og lenke til Superbrukar;Slått på Spørsmålsbankar - vis og lenke til Emneinnsyn
Statistikk - vis;Slått på Statistikk - vis Kontoadministrator;Deaktivert Statistikk - vis Informasjonskonsulent;Slått på Statistikk - vis Emneadministrator;Deaktivert Statistikk - vis Førstelinje;Slått på Statistikk - vis Superbrukar;Slått på Statistikk - vis Emneinnsyn
Studentsamarbeid - opprett;Slått på Studentsamarbeid - opprett Kontoadministrator;Deaktivert Studentsamarbeid - opprett Informasjonskonsulent;Slått på Studentsamarbeid - opprett Emneadministrator;Deaktivert Studentsamarbeid - opprett Førstelinje;Deaktivert Studentsamarbeid - opprett Superbrukar;Slått på Studentsamarbeid - opprett Emneinnsyn
Utviklarnøklar - administrer;Slått på Utviklarnøklar - administrer Kontoadministrator;Deaktivert Utviklarnøklar - administrer Informasjonskonsulent;Deaktivert Utviklarnøklar - administrer Emneadministrator;Deaktivert Utviklarnøklar - administrer Førstelinje;Deaktivert Utviklarnøklar - administrer Superbrukar;Deaktivert Utviklarnøklar - administrer Emneinnsyn
Varsel - legg til / rediger / slett;Slått på Varsel - legg til / rediger / slett Kontoadministrator;Deaktivert Varsel - legg til / rediger / slett Informasjonskonsulent;Deaktivert Varsel - legg til / rediger / slett Emneadministrator;Deaktivert Varsel - legg til / rediger / slett Førstelinje;Deaktivert Varsel - legg til / rediger / slett Superbrukar;Deaktivert Varsel - legg til / rediger / slett Emneinnsyn
Varsler - vis;Slått på Varsler - vis Kontoadministrator;Deaktivert Varsler - vis Informasjonskonsulent;Deaktivert Varsler - vis Emneadministrator;Deaktivert Varsler - vis Førstelinje;Deaktivert Varsler - vis Superbrukar;Deaktivert Varsler - vis Emneinnsyn
Vurderingar - endre;Slått på Vurderingar - endre Kontoadministrator;Deaktivert Vurderingar - endre Informasjonskonsulent;Deaktivert Vurderingar - endre Emneadministrator;Deaktivert Vurderingar - endre Førstelinje;Deaktivert Vurderingar - endre Superbrukar;Deaktivert Vurderingar - endre Emneinnsyn
Vurderingar - sjå alle vurderingar;Slått på Vurderingar - sjå alle vurderingar Kontoadministrator;Deaktivert Vurderingar - sjå alle vurderingar Informasjonskonsulent;Slått på Vurderingar - sjå alle vurderingar Emneadministrator;Deaktivert Vurderingar - sjå alle vurderingar Førstelinje;Deaktivert Vurderingar - sjå alle vurderingar Superbrukar;Deaktivert Vurderingar - sjå alle vurderingar Emneinnsyn
Vurderingar - vis endringslogg;Slått på Vurderingar - vis endringslogg Kontoadministrator;Deaktivert Vurderingar - vis endringslogg Informasjonskonsulent;Slått på Vurderingar - vis endringslogg Emneadministrator;Deaktivert Vurderingar - vis endringslogg Førstelinje;Deaktivert Vurderingar - vis endringslogg Superbrukar;Deaktivert Vurderingar - vis endringslogg Emneinnsyn
Vurderingar - vis vurderingslogg;Slått på Vurderingar - vis vurderingslogg Kontoadministrator;Deaktivert Vurderingar - vis vurderingslogg Informasjonskonsulent;Slått på Vurderingar - vis vurderingslogg Emneadministrator;Deaktivert Vurderingar - vis vurderingslogg Førstelinje;Deaktivert Vurderingar - vis vurderingslogg Superbrukar;Deaktivert Vurderingar - vis vurderingslogg Emneinnsyn
Vurderingsskjema - legg til / endre / slett;Slått på Vurderingsskjema - legg til / endre / slett Kontoadministrator;Deaktivert Vurderingsskjema - legg til / endre / slett Informasjonskonsulent;Slått på Vurderingsskjema - legg til / endre / slett Emneadministrator;Deaktivert Vurderingsskjema - legg til / endre / slett Førstelinje;Deaktivert Vurderingsskjema - legg til / endre / slett Superbrukar;Deaktivert Vurderingsskjema - legg til / endre / slett Emneinnsyn
Vurdringar - vel å moderere sluttvurdering;Slått på Vurdringar - vel å moderere sluttvurdering Kontoadministrator;Deaktivert Vurdringar - vel å moderere sluttvurdering Informasjonskonsulent;Deaktivert Vurdringar - vel å moderere sluttvurdering Emneadministrator;Deaktivert Vurdringar - vel å moderere sluttvurdering Førstelinje;Deaktivert Vurdringar - vel å moderere sluttvurdering Superbrukar;Deaktivert Vurdringar - vel å moderere sluttvurdering Emneinnsyn
Webkonferanse - opprett;Slått på Webkonferanse - opprett Kontoadministrator;Deaktivert Webkonferanse - opprett Informasjonskonsulent;Slått på Webkonferanse - opprett Emneadministrator;Deaktivert Webkonferanse - opprett Førstelinje;Slått på Webkonferanse - opprett Superbrukar;Slått på Webkonferanse - opprett Emneinnsyn
duglegberekninger for læringsmål - legg til/rediger;Slått på duglegberekninger for læringsmål - legg til/rediger Kontoadministrator;Deaktivert duglegberekninger for læringsmål - legg til/rediger Informasjonskonsulent;Slått på duglegberekninger for læringsmål - legg til/rediger Emneadministrator;Deaktivert duglegberekninger for læringsmål - legg til/rediger Førstelinje;Deaktivert duglegberekninger for læringsmål - legg til/rediger Superbrukar;Deaktivert duglegberekninger for læringsmål - legg til/rediger Emneinnsyn
