canvas_course_id,course_id,integration_id,short_name,long_name,canvas_account_id,account_id,canvas_term_id,term_id,status,start_date,end_date,course_format,canvas_blueprint_course_id,blueprint_course_id,created_by_sis
28488,UA_203_SAB140_1_2025_VÅR_1_2,,SAB140 Sogndal - V25 (2),SAB140 Sogndal - V25 (2),17366,UE_203_SAB140_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
28886,UE_203_ERG130_1_2025_VÅR_1,,ERG130-1 25V,ERG130-1 25V Aktivitetsvitenskap,355,ST_0203100200,332,2025_VÅR,active,,,,,,true
28892,UE_203_DAT110_1_2025_VÅR_1,,DAT110-1 25V,DAT110-1 25V Distribuerte systemer og nettverksteknologi,5313,ST_0203201000,332,2025_VÅR,active,,,,,,true
29233,UE_203_HYD801_1_2025_VÅR_1,,HYD801-1 25V,HYD801-1 25V Hydrogenteknologi I,15738,ST_0203201300,332,2025_VÅR,unpublished,,,,,,true
28857,UA_203_SYKI105_1_2025_VÅR_1_2,,Haugesund: International nursing students - spring 25,Haugesund: SYKI 104 / 105 / 106 / 110 - V25,17562,UE_203_SYKI105_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
27994,UA_203_MGBNO401_1_2025_VÅR_1_2,,MGBNO301/401 Sogndal - V25,MGBNO301/401 Sogndal - V25,16844,UE_203_MGBNO401_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
29667,UE_203_MSN520_1_2025_VÅR_1,,MSN520-1 25V,MSN520-1 25V Klinisk fagledelse og fordypning i klinisk nevrosykepleie,429,ST_0203100100,332,2025_VÅR,active,,,,,,true
29692,UE_203_MHE804_1_2025_VÅR_1,,MHE804-1 25V,"MHE804-1 25V Mat og helse 1, emne 2 - Mat og helse som undervisningsfag",438,ST_0203300100,332,2025_VÅR,active,,,,,,true
28787,UE_203_EM6-1001_1_2025_VÅR_1,,EM6-1001-1 25V,EM6-1001-1 25V Praktisk eiendomsmegling 1,15739,ST_0203201400,332,2025_VÅR,active,,,,,,true
30192,UE_203_SYKI103_1_2025_VÅR_1,,SYKI103-1 25V,SYKI103-1 25V Practical studies in Community Health Care,429,ST_0203100100,332,2025_VÅR,unpublished,,,,,,true
30770,UE_203_REAL121_1_2025_VÅR_1,,REAL121-1 25V,REAL121-1 25V Fysikk realfagkurs,5313,ST_0203201000,332,2025_VÅR,active,,,,,,true
30282,UE_203_TOS201T_1_2025_VÅR_1,,TOS201T-1 25V,TOS201T-1 25V Tolking i praksis - norsk/russisk,440,ST_0203300300,332,2025_VÅR,unpublished,,,,,,true
30914,UE_203_HMA811_1_2025_VÅR_1,,HMA811-1 25V,HMA811-1 25V Teoretiske perspektiver på velferdsteknologi,355,ST_0203100200,332,2025_VÅR,active,,,,,,true
30553,UE_203_BYG161_1_2025_VÅR_1,,BYG161-1 25V,BYG161-1 25V Mekanikk,15737,ST_0203201200,332,2025_VÅR,active,,,,,,true
28383,UA_203_MGUPE201_1_2025_VÅR_1_2,,MGUPE201 Sogndal (2),MGUPE201 Sogndal (2),16995,UE_203_MGUPE201_1_2025_VÅR_1,332,2025_VÅR,unpublished,,,,,,true
28879,UA_203_SYKI106_1_2025_VÅR_1_2,,Haugesund: International nursing students V25 (2),Haugesund: International nursing students V25 (2),17563,UE_203_SYKI106_1_2025_VÅR_1,332,2025_VÅR,unpublished,,,,,,true
28570,UE_203_BRL106_1_2025_VÅR_1,,BRL106-1 25V,BRL106-1 25V Friluftsliv og naturguiding vinter II,15739,ST_0203201400,332,2025_VÅR,active,,,,,,true
29292,UE_203_FYS150_1_2025_VÅR_1,,FYS150-1 25V,FYS150-1 25V Bevegelseslære,355,ST_0203100200,332,2025_VÅR,active,,,,,,true
28685,UE_203_ELE121_1_2025_VÅR_1,,ELE121-1 25V,ELE121-1 25V Videregående nettverksteknikk,5313,ST_0203201000,332,2025_VÅR,active,,,,,,true
29116,UE_203_FHSUF300_1_2025_VÅR_1,,FHSUF300-1 25V,FHSUF300-1 25V The Norwegian Health Care System in an International Perspective,355,ST_0203100200,332,2025_VÅR,unpublished,,,,,,true
29810,UE_203_NABP3005_1_2025_VÅR_1,,NABP3005-1 25V,"NABP3005-1 25V Helse, arbeidsmiljø og sikkerhet",15738,ST_0203201300,332,2025_VÅR,active,,,,,,true
29817,UE_203_MGUMA301_1_2025_VÅR_1,,MGUMA301-1 25V,"MGUMA301-1 25V Matematikk 2, emne 1 - Perspektiv på matematikkfaget",440,ST_0203300300,332,2025_VÅR,active,,,,,,true
28684,UA_203_STM101_1_2025_VÅR_1_2,,STM101 Bergen - Klasse B (2),STM101 Bergen - Klasse B (2),17418,UE_203_STM101_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
29358,UE_203_ING172_1_2025_VÅR_1,,ING172-1 25V,ING172-1 25V Klassisk mekanikk og termodynamikk,5313,ST_0203201000,332,2025_VÅR,active,,,,,,true
30810,UE_203_FHA852_1_2025_VÅR_1,,FHA852-1 25V,FHA852-1 25V Verktøy og metoder i systematisk folkehelsearbeid,438,ST_0203300100,332,2025_VÅR,active,,,,,,true
28911,UE_203_DAT153_1_2025_VÅR_1,,DAT153-1 25V,DAT153-1 25V Mobile og distribuerte applikasjoner,5313,ST_0203201000,332,2025_VÅR,active,,,,,,true
29959,UE_203_MOØ234_1_2025_VÅR_1,,MOØ234-1 25V,MOØ234-1 25V Innovasjonsledelse i etablerte bedrifter,15739,ST_0203201400,332,2025_VÅR,active,,,,,,true
29981,UE_203_MOØ240_1_2025_VÅR_1,,MOØ240-1 25V,MOØ240-1 25V Innovasjon og entreprenørskap i praksis i en regional kontekst,15739,ST_0203201400,332,2025_VÅR,active,,,,,,true
29048,UE_203_INN503_1_2025_VÅR_1,,INN503-1 25V,"INN503-1 25V Digital transformasjon, innovasjon og bærekraft",15739,ST_0203201400,332,2025_VÅR,active,,,,,,true
29249,UE_203_MAKPR420_1_2025_VÅR_1,,MAKPR420-1 25V,"MAKPR420-1 25V Prinsipper for bildekvalitet, bildebehandling og bildeanalyse",355,ST_0203100200,332,2025_VÅR,unpublished,,,,,,true
28144,UA_203_MAS220_1_2025_VÅR_1_3,,MAS220 Bergen - Marinteknikk (3),MAS220 Bergen - Marinteknikk (3),16650,UE_203_MAS220_1_2025_VÅR_1,332,2025_VÅR,unpublished,,,,,,true
29418,UE_203_MDIP501A_1_2025_VÅR_1,,MDIP501A-1 25V,MDIP501A-1 25V Didaktiske praksiser rettet mot undervisning i kroppsøving og mat og helse,438,ST_0203300100,332,2025_VÅR,active,,,,,,true
31015,hvl250122-e1-akv,,Studentassistentar FTMS vår 2025,Studentassistentar FTMS vår 2025,199,ST_0203200000,332,2025_VÅR,active,,,,,,false
29837,UE_203_PSBU104_1_2025_VÅR_1,,PSBU104-1 25V,"PSBU104-1 25V Psykososialt arbeid med barn, ungdom og deres familier - ulike praksiser, teorier og etiske dilemma",429,ST_0203100100,332,2025_VÅR,unpublished,,,,,,true
28855,UA_203_NHR101_1_2025_VÅR_1_2,,NHR101 Bergen - Klasse C (2),NHR101 Bergen - Klasse C (2),17189,UE_203_NHR101_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
28766,UE_203_ELE308_1_2025_VÅR_1,,ELE308-1 25V,ELE308-1 25V Fordypning i Kraftelektronikk,5313,ST_0203201000,332,2025_VÅR,unpublished,,,,,,true
29436,UE_203_MDIP501F_1_2025_VÅR_1,,MDIP501F-1 25V,MDIP501F-1 25V Refleksiv profesjonsledelse innen yrkesdidaktisk arbeid,439,ST_0203300200,332,2025_VÅR,active,,,,,,true
29589,UE_203_MGBNA503_1_2025_VÅR_1,,MGU/BNA 503-1 25V,"MGBNA503-1 25V Naturfag 3, emne 3 - Naturfagdidaktikk",438,ST_0203300100,332,2025_VÅR,active,,,,,,true
29579,UE_203_MGBMU503_1_2025_VÅR_1,,MGB/MGU MU503-1 25V,"MGB/MGU MU503-1 25V Musikk 3, emne 3 - Musikkpedagogisk grunnlagstenking, tradisjoner og utviklingstrekk",441,ST_0203300400,332,2025_VÅR,active,,,,,,true
29722,UE_203_MIDR406_1_2025_VÅR_1,,MIDR406-1 25V,"MIDR406-1 25V Måleegenskaper, statistikk og prosjektplan",438,ST_0203300100,332,2025_VÅR,active,,,,,,true
28401,UA_203_MGBNO101_1_2025_VÅR_1_1,,MGBNO101 Bergen - Klasse ENG (1),MGBNO101 Bergen - Klasse ENG (1),16841,UE_203_MGBNO101_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
29859,UE_203_MOA253_1_2025_VÅR_1,,MOA253-1 25V,"MOA253-1 25V Avtalerett, ekspropriasjonsrett og grunnerverv",15737,ST_0203201200,332,2025_VÅR,active,,,,,,true
28976,UA_203_PSBU105_1_2025_VÅR_1_1,,PSBU105 Stord/Haugesund (1),PSBU105 Stord/Haugesund (1),17296,UE_203_PSBU105_1_2025_VÅR_1,332,2025_VÅR,unpublished,,,,,,true
29923,UE_203_OPRP513_1_2025_VÅR_1,,OPRP513-1 25V,OPRP513-1 25V Utøvende operasjonssykepleie: grunnleggende ferdigheter og pasientsikkerhet,429,ST_0203100100,332,2025_VÅR,active,,,,,,true
29658,UE_203_MGUSA202_1_2025_VÅR_1,,MGUSA202-1 25V,"MGUSA202-1 25V Samfunnsfag 1, emne 2 - Innføring i samfunnsfag 2",439,ST_0203300200,332,2025_VÅR,active,,,,,,true
30984,UE_203_PHDINN903_1_2025_VÅR_1,,PHDINN903-1 25V,PHDINN903-1 25V Understanding and Exploring Innovation,199,ST_0203200000,332,2025_VÅR,active,,,,,,true
28875,UE_203_DAT102_1_2025_VÅR_1,,DAT102-1 25V,DAT102-1 25V Algoritmer og datastrukturer,5313,ST_0203201000,332,2025_VÅR,active,,,,,,true
29998,UE_203_MPUV501B_1_2025_VÅR_1,,MPUV501B-1 25V,MPUV501B-1 25V IKT i læring 1 - Digital teknologi i pedagogisk utviklingsarbeid,439,ST_0203300200,332,2025_VÅR,active,,,,,,true
27974,UA_203_MGBNO301_1_2025_VÅR_1_1,,MGBNO301 Bergen (1),MGBNO301 Bergen (1),16843,UE_203_MGBNO301_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
29893,UE_203_NVB001_1_2025_VÅR_1,,NVB001-1 25V,NVB001-1 25V Bedriftsøkonomisk analyse,15739,ST_0203201400,332,2025_VÅR,active,,,,,,true
29016,UE_203_FØS8306_1_2025_VÅR_1,,FØS8306-1 25V,FØS8306-1 25V Forretningsengelsk,15739,ST_0203201400,332,2025_VÅR,unpublished,,,,,,true
29652,UE_203_MSG520_1_2025_VÅR_1,,MSG520-1 25V,MSG520-1 25V Klinisk fagledelse og fordypning i klinisk gastrosykepleie,429,ST_0203100100,332,2025_VÅR,active,,,,,,true
28084,UA_203_MGUMA202_1_2025_VÅR_1_1,,MGUMA202 Bergen  (1),MGUMA202 Bergen  (1),16938,UE_203_MGUMA202_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
28364,UA_203_MGBSA201_1_2025_VÅR_1_1,,MGBSA201 Bergen (1),MGBSA201 Bergen (1),16881,UE_203_MGBSA201_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
28687,UE_203_ADA529_1_2025_VÅR_1,,ADA529-1 25V,ADA529-1 25V Beregningsvitenskap,5313,ST_0203201000,332,2025_VÅR,active,,,,,,true
29177,UE_203_HI104_1_2025_VÅR_1,,HI104-1 25V,HI104-1 25V Historie etter 1930. Innføring i norsk og internasjonal historie,15739,ST_0203201400,332,2025_VÅR,active,,,,,,true
28925,UE_203_BIDR202_1_2025_VÅR_1,,BIDR202-1 25V,BIDR202-1 25V Coaching og trenerrollen,438,ST_0203300100,332,2025_VÅR,active,,,,,,true
29748,UE_203_MKUF502B_1_2025_VÅR_1,,MKUF502B-1 25V,MKUF502B-1 25V Anvendt teater,441,ST_0203300400,332,2025_VÅR,active,,,,,,true
29046,UE_203_GE448_1_2025_VÅR_1,,GE448-1 25V,GE448-1 25V Snø og snøskred,15737,ST_0203201200,332,2025_VÅR,active,,,,,,true
30959,hvl250110-e1-akv,,MAT122 testemne,MAT122 testemne,5313,ST_0203201000,332,2025_VÅR,active,,,,,,false
29127,UE_203_JU5-105_1_2025_VÅR_1,,JU5-105-1 25V,JU5-105-1 25V Juridisk metode,15739,ST_0203201400,332,2025_VÅR,active,,,,,,true
29148,UE_203_MAB802N_1_2025_VÅR_1,,MAB802N-1 25V,"MAB802N-1 25V Matematikk 1, emne 2 - Den utforskende matematikklærer",440,ST_0203300300,332,2025_VÅR,active,,,,,,true
30348,UA_203_MGBPE201_1_2025_VÅR_1_11,,MGBPE201 Bergen - Klasse KOH/NAT/KRLE/MOH/MUS - V25,MGBPE201 Bergen - Klasse KOH/NAT/KRLE/MOH/MUS - V25,16856,UE_203_MGBPE201_1_2025_VÅR_1,332,2025_VÅR,active,,,,30812,hvl241202-dov-E1,true
28154,UA_203_MGBPE201_1_2025_VÅR_1_8,,MGBPE201 Bergen - Klasse SAM - V25,MGBPE201 Bergen - Klasse SAM - V25,16856,UE_203_MGBPE201_1_2025_VÅR_1,332,2025_VÅR,active,,,,30812,hvl241202-dov-E1,true
28145,UA_203_MGBPE201_1_2025_VÅR_1_6,,MGBPE201 Bergen - Klasse ENG/KRO - V25,MGBPE201 Bergen - Klasse ENG/KRO - V25,16856,UE_203_MGBPE201_1_2025_VÅR_1,332,2025_VÅR,active,,,,30812,hvl241202-dov-E1,true
29411,UE_203_ING303_1_2025_VÅR_1,,ING303-1 25V,ING303-1 25V Systemtenking og innovasjon for ingeniører,15739,ST_0203201400,332,2025_VÅR,active,,,,,,true
29206,UE_203_MAS520_1_2025_VÅR_1,,MAS520-1 25V,MAS520-1 25V Design for Sustainable Energy Technology,15738,ST_0203201300,332,2025_VÅR,active,,,,,,true
29200,UE_203_MAFYS551_1_2025_VÅR_1,,MAFYS551-1 25V,MAFYS551-1 25V Individuell behandling og gruppebehandling i fysioterapi ved psykiatriske og psykosomatiske helseproblem,355,ST_0203100200,332,2025_VÅR,active,,,,,,true
30786,UA_203_VPD390_1_2025_VÅR_1_1,,Haugesund VPD390 (1),Haugesund VPD390 (1),17866,UE_203_VPD390_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
29213,UE_203_HVF852_1_2025_VÅR_1,,HVF852-1 25V,HVF852-1 25V Sosial- og trygderett,430,ST_0203100300,332,2025_VÅR,active,,,,,,true
28261,UA_203_DAT109_1_2025_VÅR_1_3,,DAT109 25V Førde,DAT109 25V Systemutvikling - Førde,16052,UE_203_DAT109_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
28283,UA_203_MAT110_1_2025_VÅR_1_1,,MAT110 Bergen - Dataingeniør (1),MAT110 Bergen - Dataingeniør (1),16719,UE_203_MAT110_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
29219,UE_203_KAS530_1_2025_VÅR_1,,KAS530-1 25V,KAS530-1 25V Prosjektplan,429,ST_0203100100,332,2025_VÅR,active,,,,,,true
29256,UE_203_KJE103_1_2025_VÅR_1,,KJE103-1 25V,KJE103-1 25V Organisk kjemi,5316,ST_0203201100,332,2025_VÅR,active,,,,,,true
29222,UE_203_HYD800_1_2025_VÅR_1,,HYD800-1 25V,HYD800-1 25V Innføring i hydrogenteknologi,15738,ST_0203201300,332,2025_VÅR,active,,,,,,true
29230,UE_203_MAJORP502_1_2025_VÅR_1,,MAJORP502-1 25V,MAJORP502-1 25V Grunnleggende jordmorfag i praksis II,429,ST_0203100100,332,2025_VÅR,active,,,,,,true
28527,UA_203_VPL390_1_2025_VÅR_1_2,,Sogndal VPL390 / VPD390 (25V),Sogndal VPL390 / VPD390 (25V),17665,UE_203_VPL390_1_2025_VÅR_1,332,2025_VÅR,active,,,,,,true
29380,UE_203_ING2045_1_2025_VÅR_1,,ING2045-1 25V,ING2045-1 25V Aktive og passive brannsikringssystemer,5316,ST_0203201100,332,2025_VÅR,active,,,,,,true
28649,UE_203_ELDHELS1004_1_2025_VÅR_1,,ELDHELS1004-1 25V,ELDHELS1004-1 25V Palliasjon,429,ST_0203100100,332,2025_VÅR,active,,,,,,true
29310,UE_203_KJE302_1_2025_VÅR_1,,KJE302-1 25V,KJE302-1 25V Analyseteknikker med legemiddelanalyser,5316,ST_0203201100,332,2025_VÅR,active,,,,,,true
28780,UE_203_BØ6-2010_1_2025_VÅR_1,,BØ6-2010-1 25V,BØ6-2010-1 25V Regnskap i praksis,15739,ST_0203201400,332,2025_VÅR,active,,,,,,true
29277,UE_203_MAMET1ABIO_1_2025_VÅR_1,,MAMET1ABIO-1 25V,"MAMET1ABIO-1 25V Vitenskapsteori, etikk og metode",429,ST_0203100100,332,2025_VÅR,active,,,,,,true
