section_id,course_id,name,status,start_date,end_date,account_id
UE_203_BAMM1002_1_2025_HØST_1,UE_203_BAMM1002_1_2025_HØST_1,BAMM1002-1 25H,active,,,
UE_203_BAMM2001_1_2024_HØST_1,UE_203_BAMM2001_1_2024_HØST_1,BAMM2001-1 24H,active,,,
UE_203_BAMM2002_1_2025_HØST_1,UE_203_BAMM2002_1_2025_HØST_1,BAMM2002-1 25H,active,,,
UE_203_BAMM3001_1_2025_VÅR_1,UE_203_BAMM3001_1_2025_VÅR_1,BAMM3001-1 25V,active,,,
UE_203_BAMM3002_1_2026_VÅR_1,UE_203_BAMM3002_1_2026_VÅR_1,BAMM3002-1 26V,active,,,
UE_203_BAMM3003_1_2024_HØST_1,UE_203_BAMM3003_1_2024_HØST_1,BAMM3003-1 24H,active,,,
UE_203_BAMM3004_1_2024_HØST_1,UE_203_BAMM3004_1_2024_HØST_1,BAMM3004-1 24H,active,,,
UE_203_BAMM4000_1_2024_HØST_1,UE_203_BAMM4000_1_2024_HØST_1,BAMM4000-1 24H,active,,,
UE_203_BARNP1_1_2025_VÅR_1,UE_203_BARNP1_1_2025_VÅR_1,BARNP1-1 25V,active,,,
UE_203_BARNP1_1_2026_VÅR_1,UE_203_BARNP1_1_2026_VÅR_1,BARNP1-1 26V,active,,,
UE_203_BARNP2_1_2025_VÅR_1,UE_203_BARNP2_1_2025_VÅR_1,BARNP2-1 25V,active,,,
UE_203_BARNP2_1_2026_VÅR_1,UE_203_BARNP2_1_2026_VÅR_1,BARNP2-1 26V,active,,,
UE_203_BARNP513_1_2025_VÅR_1,UE_203_BARNP513_1_2025_VÅR_1,BARNP513-1 25V,active,,,
UE_203_BARNP513_1_2026_VÅR_1,UE_203_BARNP513_1_2026_VÅR_1,BARNP513-1 26V,active,,,
UE_203_BARNP514_1_2024_HØST_1,UE_203_BARNP514_1_2024_HØST_1,BARNP514-1 24H,active,,,
UE_203_BARNP515_1_2024_HØST_1,UE_203_BARNP515_1_2024_HØST_1,BARNP515-1 24H,active,,,
UE_203_BARN100_1_2024_HØST_1,UE_203_BARN100_1_2024_HØST_1,BARN100-1 24H,active,,,
UE_203_BARN100_1_2025_HØST_1,UE_203_BARN100_1_2025_HØST_1,BARN100-1 25H,active,,,
UE_203_BARN110_1_2024_HØST_1,UE_203_BARN110_1_2024_HØST_1,BARN110-1 24H,active,,,
UE_203_BARN110_1_2025_HØST_1,UE_203_BARN110_1_2025_HØST_1,BARN110-1 25H,active,,,
UE_203_BARN120_1_2024_HØST_1,UE_203_BARN120_1_2024_HØST_1,BARN120-1 24H,active,,,
UE_203_BARN120_1_2025_HØST_1,UE_203_BARN120_1_2025_HØST_1,BARN120-1 25H,active,,,
UE_203_BARN130_1_2025_VÅR_1,UE_203_BARN130_1_2025_VÅR_1,BARN130-1 25V,active,,,
UE_203_BARN130_1_2026_VÅR_1,UE_203_BARN130_1_2026_VÅR_1,BARN130-1 26V,active,,,
UE_203_BARN140_1_2025_VÅR_1,UE_203_BARN140_1_2025_VÅR_1,BARN140-1 25V,active,,,
UE_203_BARN140_1_2026_VÅR_1,UE_203_BARN140_1_2026_VÅR_1,BARN140-1 26V,active,,,
UE_203_BARN200_1_2024_HØST_1,UE_203_BARN200_1_2024_HØST_1,BARN200-1 24H,active,,,
UE_203_BARN200_1_2025_HØST_1,UE_203_BARN200_1_2025_HØST_1,BARN200-1 25H,active,,,
UE_203_BARN210_1_2024_HØST_1,UE_203_BARN210_1_2024_HØST_1,BARN210-1 24H,active,,,
UE_203_BARN210_1_2025_HØST_1,UE_203_BARN210_1_2025_HØST_1,BARN210-1 25H,active,,,
UE_203_BARN300_1_2024_HØST_1,UE_203_BARN300_1_2024_HØST_1,BARN300-1 24H,active,,,
UE_203_BARN300_1_2025_HØST_1,UE_203_BARN300_1_2025_HØST_1,BARN300-1 25H,active,,,
UE_203_BARN310_1_2024_HØST_1,UE_203_BARN310_1_2024_HØST_1,BARN310-1 24H,active,,,
UE_203_BARN310_1_2025_HØST_1,UE_203_BARN310_1_2025_HØST_1,BARN310-1 25H,active,,,
UE_203_BARN320_1_2025_VÅR_1,UE_203_BARN320_1_2025_VÅR_1,BARN320-1 25V,active,,,
UE_203_BARN320_1_2026_VÅR_1,UE_203_BARN320_1_2026_VÅR_1,BARN320-1 26V,active,,,
UE_203_BARN390_1_2025_VÅR_1,UE_203_BARN390_1_2025_VÅR_1,BARN390-1 25V,active,,,
UE_203_BARN390_1_2026_VÅR_1,UE_203_BARN390_1_2026_VÅR_1,BARN390-1 26V,active,,,
UE_203_BARN510_1_2025_HØST_1,UE_203_BARN510_1_2025_HØST_1,BARN510-1 25H,active,,,
UE_203_BARN511_1_2025_HØST_1,UE_203_BARN511_1_2025_HØST_1,BARN511-1 25H,active,,,
UE_203_BARN512_1_2025_HØST_1,UE_203_BARN512_1_2025_HØST_1,BARN512-1 25H,active,,,
UE_203_BBLAPR100_1_2025_VÅR_1,UE_203_BBLAPR100_1_2025_VÅR_1,BBLAPR100-1 25V,active,,,
UE_203_BBLAPR200_1_2026_VÅR_1,UE_203_BBLAPR200_1_2026_VÅR_1,BBLAPR200-1 26V,active,,,
UE_203_BBLDPR101_1_2025_HØST_1,UE_203_BBLDPR101_1_2025_HØST_1,BBLDPR101-1 25H,active,,,
UE_203_BBLDPR301_1_2024_HØST_1,UE_203_BBLDPR301_1_2024_HØST_1,BBLDPR301-1 24H,active,,,
