course_id,short_name,long_name,account_id,term_id,status,start_date,end_date,blueprint_course_id
UE_203_VOØ006_1_2026_VÅR_1,VOØ006-1 26V,VOØ006-1 26V Human Resource Management (HRM) i den norske modellen,ST_0203201400,2026_VÅR,active,,,
UE_203_VPDP300_1_2024_HØST_1,VPDP300-1 24H,VPDP300-1 24H Vernepleie i praksis,ST_0203100300,2024_HØST,active,,,
UE_203_VPDP300_1_2025_HØST_1,VPDP300-1 25H,VPDP300-1 25H Vernepleie i praksis,ST_0203100300,2025_HØST,active,,,
UE_203_VPD100_1_2025_HØST_1,VPD100-1 25H,"VPD100-1 25H Vernepleie, fag og profesjon",ST_0203100300,2025_HØST,active,,,
UE_203_VPD110_1_2025_HØST_1,VPD110-1 25H,VPD110-1 25H  Danning og akademisk handverk ,ST_0203100300,2025_HØST,active,,,
UE_203_VPD120_1_2025_HØST_1,VPD120-1 25H,VPD120-1 25H Menneskets utvikling og læring i et livsløpsperspektiv ,ST_0203100300,2025_HØST-2026_VÅR,active,,,
UE_203_VPD130_1_2026_VÅR_1,VPD130-1 26V,VPD130-1 26V Miljøterapeutisk arbeid,ST_0203100300,2026_VÅR,active,,,
UE_203_VPL305_1_2025_VÅR_1,VPL305-1 25V,"VPL305-1 25V Perspective on global Citizenship, Critical reflection and Project work in the south (Tanzania)",ST_0203100300,2025_VÅR,active,,,
UE_203_VPL305_1_2026_VÅR_1,VPL305-1 26V,"VPL305-1 26V Perspective on global Citizenship, Critical reflection and Project work in the south (Tanzania)",ST_0203100300,2026_VÅR,active,,,
UE_203_VSFO801_1_2025_VÅR_1,VSFO801-1 25V,VSFO801-1 25V Mat og måltidsglede i SFO,ST_0203300100,2025_VÅR,active,,,
UE_203_VSFO801_1_2026_VÅR_1,VSFO801-1 26V,VSFO801-1 26V Mat og måltidsglede i SFO,ST_0203300100,2026_VÅR,active,,,
UE_203_VSFO802_1_2024_HØST_1,VSFO802-1 24H,VSFO802-1 24H Fysisk aktivitet og bevegelsesglede,ST_0203300100,2024_HØST,active,,,
UE_203_VSFO802_1_2025_HØST_1,VSFO802-1 25H,VSFO802-1 25H Fysisk aktivitet og bevegelsesglede,ST_0203300100,2025_HØST,active,,,
UE_203_VSFO803_1_2024_HØST_1,VSFO803-1 24H,VSFO803-1 24H Lek i SFO ,ST_0203300100,2024_HØST,active,,,
UE_203_VSFO803_1_2025_HØST_1,VSFO803-1 25H,VSFO803-1 25H Lek i SFO ,ST_0203300100,2025_HØST,active,,,
UE_203_VSFO804_1_2025_VÅR_1,VSFO804-1 25V,VSFO804-1 25V Kunst- og kulturaktiviteter i SFO,ST_0203300400,2025_VÅR,active,,,
UE_203_VSFO804_1_2026_VÅR_1,VSFO804-1 26V,VSFO804-1 26V Kunst- og kulturaktiviteter i SFO,ST_0203300400,2026_VÅR,active,,,
UE_203_VVPB801_1_2024_HØST_1,VVPB801-1 24H,VVPB801-1 24H Innføring i veiledning og vurdering for praksislærere i barnehage,ST_0203300200,2024_HØST,active,,,
UE_203_VVPB801_1_2025_HØST_1,VVPB801-1 25H,VVPB801-1 25H Innføring i veiledning og vurdering for praksislærere i barnehage,ST_0203300200,2025_HØST,active,,,
UE_203_VVPB802_1_2025_VÅR_1,VVPB802-1 25V,"VVPB802-1 25V Barnehagelæreren som lærerutdanner, veileder og vurderer",ST_0203300200,2025_VÅR,active,,,
UE_203_VVPB802_1_2026_VÅR_1,VVPB802-1 26V,"VVPB802-1 26V Barnehagelæreren som lærerutdanner, veileder og vurderer",ST_0203300200,2026_VÅR,active,,,
UE_203_WPE101_1_2025_VÅR_1,WPE101-1 25V,WPE101-1 25V Wild Pedagogies and Ecophilosophy in Outdoor Education,ST_0203300100,2025_VÅR,active,,,
UE_203_WPE101_1_2026_VÅR_1,WPE101-1 26V,WPE101-1 26V Wild Pedagogies and Ecophilosophy in Outdoor Education,ST_0203300100,2026_VÅR,active,,,
UE_203_YFL802_1_2024_HØST_1,YFL802-1 24H,YFL802-1 24H Vurderingspraksis og læreplanforståelse (del 1),ST_0203300200,2024_HØST,active,,,
UE_203_YFL802_1_2025_HØST_1,YFL802-1 25H,YFL802-1 25H Vurderingspraksis og læreplanforståelse (del 1),ST_0203300200,2025_HØST,active,,,
UE_203_YFL807_1_2024_HØST_1,YFL807-1 24H,YFL807-1 24H E-helse for HO og EL,ST_0203300200,2024_HØST,active,,,
UE_203_YFL807_1_2025_HØST_1,YFL807-1 25H,YFL807-1 25H E-helse for HO og EL,ST_0203300200,2025_HØST,active,,,
UE_203_YFL810_1_2025_VÅR_1,YFL810-1 25V,YFL810-1 25V Vurderingspraksis og læreplanforståelse (del 2),ST_0203300200,2025_VÅR,active,,,
UE_203_YFL810_1_2026_VÅR_1,YFL810-1 26V,YFL810-1 26V Vurderingspraksis og læreplanforståelse (del 2),ST_0203300200,2026_VÅR,active,,,
UE_203_YFL814_1_2024_HØST_1,YFL814-1 24H,YFL814-1 24H Tilpasset opplæring og motivasjon i mangfoldige og flerspråklige elevgrupper i yrkesfaglige utdanningsprogram (del 1),ST_0203300200,2024_HØST,active,,,
